Número,Área,Cliente,Atribuído a,Prioridade,Subcategoria,Tipo,Versão do Produto,Categoria,Data de Envio,Visibilidade,Atualizado,Resumo,Estado,Resolução,Corrigido na Versão,Data prevista original
0073348,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,TICKET,2020-10-26 18:44,público,2020-10-30 11:48,TD215 Archive,Resolvido,corrigido,,2020-11-02 18:00
0073323,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,TICKET,2020-10-26 17:40,público,2020-10-30 11:48,Executar backup EBS HISTORICO,Resolvido,corrigido,,2020-11-02 17:40
0072055,TI,lucio.junior,lucio.junior,P3,Middleware,Requisição,,SERVIDOR,2020-10-21 15:57,público,2020-10-28 15:06,CCA - Lentidão,Resolvido,corrigido,,2020-10-26 15:57
0071825,TI,lucio.junior,lucio.junior,P3,Middleware,Requisição,,SERVIDOR,2020-10-21 09:23,público,2020-10-28 15:01,CCA - Lentidão,Resolvido,corrigido,,2020-10-26 09:23
0073805,TI,lucio.junior,emerson.souto_vector,P4,CRP - Cadastro Corporativo,Requisição,,SISTEMAS GRAFICA,2020-10-28 11:13,público,2020-10-28 13:38,Cadastro Corporativo - Urgente,Resolvido,corrigido,,2020-11-04 11:13
0068917,TI,lucio.junior,lucio.junior,P4,Regra de Firewall,Requisição,,REDE,2020-10-09 14:09,público,2020-10-26 14:33,Acesso Firewall Platinum,Resolvido,corrigido,,2020-10-16 14:09
0072913,TI,lucio.junior,lucio.junior,P4,,Requisição,,TICKET,2020-10-24 14:34,público,2020-10-24 15:04,Verificar se os ambientes irão atualizar o HV,Resolvido,corrigido,,
0072912,TI,lucio.junior,lucio.junior,P4,,Requisição,,TICKET,2020-10-24 14:30,público,2020-10-24 14:31,Desativar jobs do PERFSTAT,Resolvido,corrigido,,
0072743,TI,lucio.junior,lucio.junior,P3,Usuário de Sistema,Incidente,,FRONT END,2020-10-23 15:08,público,2020-10-23 17:08,CCA - Lentidão,Resolvido,corrigido,,2020-10-28 15:08
0071785,TI,lucio.junior,lucio.junior,P4,,Requisição,,FRONT END,2020-10-21 06:58,público,2020-10-21 09:16,Monitoramento de infraestrutura - Paywall AMP,Resolvido,corrigido,,
0071469,TI,lucio.junior,lucio.junior,P4,,Requisição,,DEPLOY,2020-10-20 11:29,público,2020-10-20 16:27,CCA - Lentidão,Resolvido,corrigido,,
0067819,TI,lucio.junior,lucio.junior,P4,,Requisição,,DEPLOY,2020-10-06 12:13,público,2020-10-19 11:57,Implementação de implementação do Zabbix,Resolvido,corrigido,,2020-10-13 12:13
0070030,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,TICKET,2020-10-14 15:55,público,2020-10-15 09:57,Migração de Tabelas T145,Resolvido,corrigido,,2020-10-21 15:55
0068693,TI,lucio.junior,william.tamura,P4,CRP - Cadastro Corporativo,Requisição,,SISTEMAS GRAFICA,2020-10-08 17:42,público,2020-10-08 17:47,Cadastro Corporativo,Resolvido,corrigido,,2020-10-15 17:42
0067808,TI,lucio.junior,gilmario.junior,P4,Usuário de Sistema,Requisição,,REDE,2020-10-06 11:50,público,2020-10-08 13:40,Analise de documento Oracle Platinum,Resolvido,aberto,,2020-10-13 11:50
